group,keyword,rules_pre,rules_post,rules_all,voids
foot or leg injury,thigh,reported sore_ soreness in_ abrasions to_ injur.*_ twinge in_ pain in_ graze to_ pain to_ laceration_ cut_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain in_ sprain_ bump.*_ dislocate.*_ struck_ puncture to_ contusion _ twist.*_ bang.*_ ice_ scrape.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ cut.*_ puncture.*_ splinter in_ strain.*_ {hurt},injury_ soreness_ contact with_ dislocate.*_ impacted the_ hospital_ painv_ jammed in_ crushed_ laceration_ was caught_ sharp edge_ got caught_ cut_ {hurt},leg (.*) contact_ reported.* pain_ injur.* leg*_ felt.*pain,no injuries were
foot or leg injury,knee,reported sore_ soreness in_ abrasions to_ injur.*_ twinge in_ pain in_ graze to_ pain to_ laceration_ cut_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain in_ sprain_ bump.*_ dislocate.*_ struck_ puncture to_ contusion _ twist.*_ bang.*_ ice_ scrape.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ cut.*_ puncture.*_ splinter in_ strain.*_ {hurt},injury_ soreness_ contact with_ dislocate.*_ impacted the_ hospital_ pop.*_ pain_ jammed in_ crushed_ laceration_ was caught_ sharp edge_ got caught_ cut_ {hurt}, strained (.*) knee_ dislocated (.*) knee_ hurt (.*) knee_ banged.*knee_ fell (.*) knee_ reported.* pain_ injur.* knee*_ felt.*pain,no injuries were
foot or leg injury,toe,reported sore_ soreness in_ abrasions to_ injur.*_ twinge in_ pain in_ graze to_ pain to_ laceration_ cut_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain in_ sprain_ bump.*_ dislocate.*_ struck_ puncture to_ contusion _ bang.*_ ice_ scrape.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ cut.*_ puncture.*_ splinter in_ strain.*_ {hurt},injury_ soreness_ contact with_ dislocate.*_ impacted the_ hospital_ pain_ jammed in_ crushed_ laceration_ was caught_ sharp edge_ got caught_ cut_ {hurt}, strained (.*) knee_ dislocated (.*) knee_ hurt (.*) knee_ banged.*knee_ fell (.*) knee_ reported.* pain_ injur.* knee*_ felt.*pain,no injuries were
foot or leg injury,shin,reported sore_ soreness in_ abrasions to_ injur.*_ twinge in_ pain in_ graze to_ pain to_ laceration_ cut_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain in_ sprain_ bump.*_ dislocate.*_ struck_ puncture to_ contusion _ ice_ scrape.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ cut.*_ strain.*_ {hurt},injury_ soreness_ contact with_ dislocate.*_ impacted the_ hospital_ pain_ jammed in_ crushed_ laceration_ was caught_ sharp edge_ got caught_ cut_ {hurt}, strained (.*) knee_ dislocated (.*) knee_ hurt (.*) knee_ banged.*knee_ fell (.*) knee_ reported.* pain_ injur.* knee*_ felt.*pain,no injuries were
foot or leg injury,calf,reported sore_ soreness in_ abrasions to_ injur.*_ twinge in_ pain in_ graze to_ pain to_ laceration_ cut_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain in_ sprain_ bump.*_ dislocate.*_ struck_ puncture to_ contusion _ ice_ scrape.*_ itch.*_ sting.*_ irritation to_ bruis.*_ cut.*_ puncture.*_ strain.*_ {hurt},injury_ soreness_ contact with_ dislocate.*_ impacted the_ hospital_ pain_ jammed in_ crushed_ laceration_ was caught_ sharp edge_ got caught_ {hurt},,no injuries were
foot or leg injury,-,,,{hurt}.*{leg},no injuries were
general injury,muscle*,reported sore_ soreness in_ abrasions to_ injur.*_ twinge in_ pain in_ graze to_ pain to_ laceration_ cut_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain in_ sprain_ bump.*_ dislocate.*_ struck_ puncture to_ contusion_ ice_ trapped_ caught_ itch.*_ sting.*_ abrasion_ came.*in.*contact_ bruis.*_ strain.*_ {hurt},injury_ soreness_ contact with_ dislocate.*_ impacted the_ hospital_ pain_ {hurt},sprained muscle_ sprained (.*) muscle_ discomfort (.*) neck_ discomfort (.*) shoulder_ felt a pop_ felt (.*) pop_ reported.* pain_ injur.* muscle*_ felt.*pain,no injuries were
general injury,shoulder,reported sore_ soreness in_ abrasions to_ injur.*_ twinge in_ pain in_ pinched_ graze to_ pain in_ sprain_ bump.*_ dislocate.*_ twist.*_ bang.*_ ice_ scrape.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ cut.*_ puncture.*_ splinter in_ pain to_ strain.*_ {hurt},injury_ soreness_ contact with_ dislocate.*_ impacted the_ hospital_ pop.*_ pain_ crushed_ laceration_ was caught_ sharp edge_ cut_ {hurt},sprained muscle_ sprained (.*) muscle_ discomfort (.*) neck_ discomfort (.*) shoulder_ felt a pop_ felt (.*) pop_ reported.* pain_ injur.* shoulder_ felt.*pain,no injuries were
general injury,neck,reported sore_ soreness in_ abrasions to_ injur.*_ twinge in_ pain in_ pain to_ sprain_ bump.*_ dislocate.*_ twist.*_ bang.*_ ice_ scrape.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ cut.*_ puncture.*_ splinter in_ strain.*_ {hurt},injury_ soreness_ contact with_ dislocate.*_ impacted the_ hospital_ pain_ pain_ laceration_ sharp edge_ {hurt},sprained muscle_ sprained (.*) muscle_ discomfort (.*) neck_ discomfort (.*) shoulder_ felt a pop_ felt (.*) pop_ reported.* pain_ injur.* kneck_ felt.*pain,no injuries were
general injury,elbow,reported sore_ soreness in_ abrasions to_ injur.*_ twinge in_ pain in_ graze to_ pain to_ sprain_ bump.*_ dislocate.*_ struck his_ struck her_ bang.*_ ice_ scrape.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ bruis.*_ cut.*_ puncture.*_ splinter in_ strain.*_ {hurt},injury_ soreness_ contact with_ dislocate.*_ impacted the_ hospital_ pop.*_ pain_ jammed in_ crushed_ crushed_ laceration_ was caught_ sharp edge_ got caught_ {hurt},elbow struck_ elbow banged_ elbow hit_ injur.* elbow_ felt.*pain,no injuries were
general injury,abdomen,reported sore_ soreness in_ abrasions to_ injur.*_ twinge in_ pain in_ graze to_ pain to_ laceration_ cut_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain in_ sprain_ bump.*_ dislocate.*_ struck_ puncture to_ contusion_ discomfort_ itch.*_ sting.*_ discomfort to_ strained_ sensation in_ puncture.*_ strain.*_ {hurt},injury_ soreness_ contact with_ dislocate.*_ impacted the_ hospital_ pain_ crushed_ {hurt},sprained muscle_ sprained (.*) muscle_ discomfort (.*) neck_ discomfort (.*) shoulder_ felt a pop_ felt (.*) pop_ reported.* pain_ injur.* muscle*_ felt.*pain,no injuries were
general injury,slice*,,ip.*skin_ employee.*skin_ worker.*skin,,no injuries were
general injury,groin,laceration_ cut_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain_ bump.*_ struck_ slipped into_ puncture to_ contusion to_ swell.*_ numb.*_ bang.*_ ice_ scrape.*_ slice.*_ trapped_ caught_ itch.*_ sting.*_ irritation to_ discomfort to_ strained_ jarred_ sensation in_ puncture.*_ splinter in_ painto_ pain in_ {hurt},_ cut,,no injuries were
general injury,skin,,{hurt},skin irritat.*,no injuries were
general injury,rib*,reported sore_ soreness in_ abrasions to_ injur.*_ twinge in_ pain to_ graze to_ pain to_ laceration_ cut_ hurt_ broke_ broken_ fracture_ fractured_ swollen_ reported sore_ soreness in_ abrasions to_ injured to_ pinched_ graze to_ pain to_ sprain_ bump.*_ dislocate.*_ struck_ puncture to_ contusion_ discomfort_ itch.*_ sting.*_ discomfort to_ strained_ sensation in_ puncture.*_ {hurt},injury_ soreness_ contact with_ dislocate.*_ impacted the_ hospital_ pain_ crushed_ {hurt},sprained muscle_ sprained (.*) muscle_ discomfort (.*) neck_ discomfort (.*) shoulder_ felt a pop_ felt (.*) pop_ reported.* pain_ injur.* muscle*_ felt.*pain,no injuries were
general injury,wound,infected,became infected,,no injuries were
general injury,-,,,{genbody}.*{hurt}_ {hurt}.*{genbody},no injuries were
non-work related injury or illness,injur*,non.*work.*related,non.*work.*related,,
non-work related injury or illness,medivac,non.*work.*related,non.*work.*related,,
minor fluid spill,tea,spill_ spilt_ spilled_ stiring_ swirling_ dropped,,spilled (.*) tea_ spilled tea_ spill tea_ minor burn,
minor fluid spill,coffee*,spill_ spilt_ spilled_ stiring_ swirling_ dropped,,spilled (.*) coffee_ spilled coffee_ spill coffee_ minor burn,
lifting or moving loads,load*,lifting_ moving_ fell off,caught edge of_ struck_ damag.*_ shifted_ of.*slide.*off_ of.*slide.*to_ of.*slide.*from,reversing (.*) unload_ reversed (.*) far_ struck_ hit_ knocked_ came in contact,oil leak from_ underground_ table saw
lifting or moving loads,crane*,lifting_ moving_ fell off,caught edge of_ struck_ damag.*_ hook.*drop.*into_ made contact with,reversing (.*) unload_ reversed (.*) far_ struck_ hit_ knocked_ came in contact,oil leak from_ underground_ table saw
lifting or moving loads,fork*,lifting_ moving_ fell off_ slid.*from_ slid.*off_ slid.*across,caught edge of_ struck_ damag.*_ tilt.*forward_ made contact with,reversing (.*) unload_ reversed (.*) far_ struck_ hit_ knocked_ came in contact,oil leak from_ underground_ table saw
lifting or moving loads,backed,fell off,caught edge of_ struck_ damag.*,spotter,oil leak from_ underground_ table saw
lifting or moving loads,backing,fell off,caught edge of_ struck_ damag.*,spotter_ hit.* while.* back.*,oil leak from_ underground_ table saw
lifting or moving loads,hoist*,,,was being hoisted,
lifting or moving loads,spotter,lifting_ moving_ backing.* with out_ backing.* without_ reversing.* without_ without,caught edge of_ struck_ damag.*_ was never utilized_ was not utilized_ was never utilised_ was never utilised,reversing (.*) unload_ reversed (.*) far_ struck_ hit_ knocked ,oil leak from_ underground_ table saw
lifting or moving loads,fell,,caught edge of_ struck_ damag.*,stack fell.* mov.*_ stack fell.* pull.*_ fell.* mov.*_ fell.* pull.*,oil leak from_ underground_ while sitting_ {worker}_ table saw
lifting or moving loads,struck,,caught edge of_ struck_ damag.*,piece of.*struck.*_ part of.*struck.*,oil leak from_ underground_ while sitting_ {worker}_ table saw
lifting or moving loads,excavator,lifting_ moving_ backing.* with out_ backing.* without_ reversing.* without,caught edge of_ struck_ damaged_ contacted the_ made contact with,reversing (.*) unload_ reversed (.*) far_ struck_ hit_ knocked_ came in contact,oil leak from_ underground_ table saw
lifting or moving loads,operator,tip over,tip over_ damag.*,,oil leak from_ underground_ table saw
lifting or moving loads,driver,tip over,tip over_ damag.*,,oil leak from_ underground_ table saw
lifting or moving loads,trailer,lifting_ moving_ backing.* with out_ backing.* without_ reversing.* without,caught edge of_ struck_ tip over_ was dropped during,reversing (.*) unload_ reversed (.*) far_ struck_ hit_ knocked_ came in contact,oil leak from_ underground_ table saw
lifting or moving loads,truck,,made contact with,drove.*away.*while.*connected,oil leak from_ underground_ table saw
lifting or moving loads,machine,,made contact,,oil leak from_ underground_ table saw
lifting or moving loads,moving,damage_ was struck_ struck while_ struck when_ damage.*when,,moving.*with.*skid_ whil.*moving.*stone_ damaged.*while.*mov.*materials_ while moving scaffold,oil leak from_ underground_ table saw
lifting or moving loads,bulldozer,,struck_ made contact,,oil leak from_ underground_ table saw
lifting or moving loads,boom,,came in.*contact with_ struck_ made contact_ caught edge of_ struck_ tip over_ contacted the_ struck,contact.*damag.*,oil leak from_ underground_ table saw
lifting or moving loads,lift*,no document.*for_ no.*plan.*for_ no.*permit.*for,came in.*contact with_ struck_ made contact_ caught edge of_ struck_ tip over_ contacted the_ struck,{liftequipment} was .* lift.* from,oil leak from_ underground_ table saw
lifting or moving loads,barrow,,came in contact with_ struck_ made contact_ caught edge of_ struck_ tip over_ contacted the_ struck,,oil leak from_ underground_ table saw
lifting or moving loads,manoeuvr*,,came in contact with_ struck_ made contact_ caught edge of_ struck_ tip over_ contacted the_ struck,,oil leak from_ underground_ table saw
lifting or moving loads,skid,,made.*contact_ contacted_ bumped_ came.*contact,,oil leak from_ underground_ table saw
hazardous materials or work,acid,expos.*to_ strong odor,,contaminated (.*) acid,
hazardous materials or work,chemical,expos.*to,,chemical reaction_ hazard,
hazardous materials or work,sulphur*,strong smell_ expos.*to,,,
hazardous materials or work,substance,,,inhal.*harmful.*substance,
hazardous materials or work,hazard*,did not capture_ expos.*to_ swallowing,,,dropped object
hazardous materials or work,poison,_ expos.*to_ analyse.*for_ sample.*for_ test.*for,ivy_ exposure,,
hazardous materials or work,lime,came in contact_ came into contact with_ exposed to,,,
hazardous materials or work,egg*,strong smell_ rotten smell_ smelt rotten_ expos.*to,,,
hazardous materials or work,smell*,strong smell_ rotten smell_ strong paint_ solvent_ expos.*to,,,
hazardous materials or work,exposure,,,exposure.* chemical.*,
hazardous materials or work,level*,radiation_ expos.*to,,radiation.*exceed.*,
hazardous materials or work,monoxide,ignoring.* reading_ high.*reading_ high.*limit.*_ expos.*to_ analyse.*for_ sample.*for_ test.*for,,,
hazardous materials or work,asbestos,located_ expos.*to_ analyse.*for_ sample.*for_ test.*for_ found,contain.*material*,,
hazardous materials or work,chrysotile,located_ expos.*to_ analyse.*for_ sample.*for_ test.*for_ found,contain.*material*,,
hazardous materials or work,benzene,high level.*_ expos.*to_ analyse.*for_ sample.*for_ test.*for_ found,,,
hazardous materials or work,chlorine,expos.*to_ analyse.*for_ sample.*for_ test.*for_ found,gas release.*,,
hazardous materials or work,warn*,,buried.*cable_ buried.*conduit_ was located ,,
hazardous materials or work,sewage,analyse.*for_ sample.*for_ test.*for,,worker.*contact.*with,
hazardous materials or work,co,high reading_ high level,,,
hazardous materials or work,effluent,located_ expos.*to_ analyse.*for_ sample.*for_ test.*for_ found_ discharge.* of,discharge,,
hazardous materials or work,concrete,,,concrete expos.*_ expose.*to.*concrete,
hazardous materials or work,sensor,,,co.*sensor.*activated,
hazardous materials or work,gas,,cylinder.*unsafe,,
hazardous materials or work,-,,,expos.*to {hazmaterial},
general illness or health issue,ach*,,,stomach (.*) aching_ stomach (.*) ach_ feeling unwell_ felt unwell_ illness_ non-work related illness,
general illness or health issue,heart,passed out_ felt_ struggling with, passed out,heart attack,
general illness or health issue,unwell,passed out_ felt_ complained_ feeling, passed out,unwell and fainted_ unwell (.*) fainted_ fainted_ took.*sickness_ with sickness,
general illness or health issue,well,did not feel_ didn't feel_ didnt feel,,,
general illness or health issue,flu,diagnosed.*with_ struggling with,,flu (.*) symptoms_ unwell and fainted_ unwell (.*) fainted_ fainted,
general illness or health issue,motion,feeling unwell_ felt unwell,sickness.*,,
general illness or health issue,dehydration,,,heat stress .* dehydration,
general illness or health issue,chest,sore_ suffer.*_ struggling with,,complained.*pain_ experienced.*pain_ breath.* difficulties_ breath.* issue*_ suffur.* chest pains_ felt chest pains_ feel.*chest pains,
general illness or health issue,breath*,struggling with,,breath.* difficulties_ breath.* issue*_ difficult.*breath.*,
general illness or health issue,cramp*,sore_ suffer.*_ struggling with,,cramp.* in.* leg.*_ cramp.* in.* arm.*_ cramp.* in.* hand.*_ cramp.* in.* stoma.*_ cramp.* in.* belly.*_,
general illness or health issue,throat,sore_ suffer.*_ struggling with,sore,,
general illness or health issue,urin*,get.*_ suffer.*_ diagnosed.*with_ struggling with_ complained,,issue.*urinar.*,
general illness or health issue,faint,felt_ get.*_ suffer.*,and dizzy_ {worker} fainted .* walking_ {worker} fainted .* working,,
general illness or health issue,vomit*,get.*_ suffer.*_ diagnosed.*with_ struggling with_ complained,, ill.*site,
general illness or health issue,condition,get.*_ suffer.*_ diagnosed.*with_ struggling with_ complained,,has.*exist.*medical condition,
general illness or health issue,sick*,felt_ get.*_ suffer.*,,has.*exist.*medical condition,
general illness or health issue,migraine*,get.*_ suffer.*_ diagnosed.*with_ struggling with_ complained,,,
general illness or health issue,diabe*,felt_ get.*_ suffer.*_ diagnosed.*with, seizure,,
general illness or health issue,health,get.*_ suffer.*_ diagnosed.*with_ struggling with_ complained,vertigo,,
general illness or health issue,muscl*,get.*_ suffer.*_ diagnosed.*with_ struggling with_ complained,,fever.*and.*muscl.*pain,
general illness or health issue,issue,get.*_ suffer.*_ diagnosed.*with_ struggling with_ complained,,medical.* personal,
general illness or health issue,pain*,sever.*stomach,using.*toilet,,
general illness or health issue,nausea,symptoms of,dizz.*,,
general illness or health issue,symptoms,get.*_ suffer.*_ diagnosed.*with_ struggling with_ complained,heat ill.*_ heat sick.*,,
general illness or health issue,infection,diagnosed.*with,,,
general illness or health issue,dizzy,get.*_ suffer.*_ diagnosed.*with_ struggling with_ complained,,felt.*dizzy.*hot,
general illness or health issue,syncopial,experienced,,has.*exist.*medical condition,
general illness or health issue,feel,,,began to feel.* ill_ began to feel.*naucious_ began to feel.* heavy sweatingbegan to feel.*cramps_ began to feel.*blur.*vision,
general illness or health issue,hernia,{worker},,,
general illness or health issue,collap*,,,{worker} collapsed .* walking_ {worker} collapsed .* working,
general illness or health issue,cough*,disrtressed and.*_ distressed and.*,,,
general illness or health issue,medical,get.*_ suffer.*_ diagnosed.*with_ struggling with_ complained,,personal.*condition_ non.*work.*related,
general illness or health issue,*ache,get.*_ suffer.*_ diagnosed.*with_ struggling with_ complained,,employee.*headache_ worker.*headache_ ip.*headache,
general illness or health issue,reaction,allergic,,,
general illness or health issue,illness,heat related,,,
sharp objects,sharp,,,contact (.*) sharp,
environmental leak or issue,turbidity,,,plume (.*) identified,
environmental leak or issue,sewage,expos.*to,was released_ release,sewage overflowed_ sewage leak_ sewage spill_ leak noticed_ spill.*to.*,
environmental leak or issue,contaminate*,expos.*to,drained to,contaminated water_ contaminated (.*) water_ hydrocarbon contaminated water_ hydrocarbon contaminated (.*) water_ leak noticed,
environmental leak or issue,caustic,expos.*to,drained to,caustic (.*) tank_ tank (.*) leak_ leak noticed,
environmental leak or issue,fume*,expos.*to,,exposed (.*) fume_ exposed (.*) fumes,
environmental leak or issue,oil,expos.*to,was released_ release,,
environmental leak or issue,hydrocarbon*,expos.*to,was released_ release,,
environmental leak or issue,sewer,drained to,,,
environmental leak or issue,culvert,,,type 1.*into.*culvert,
environmental leak or issue,coolant,,was released_ release,,
environmental leak or issue,gas,,was released_ release,,
environmental leak or issue,siltation,,water supply,,
line strike,struck,cable_ sewer_ line_ conduit_ culvert_ pipe,,struck (.*) line_ cable struck during excavation_ pipe struck during excavation_ sewer struck during excavation_ auger struck .* pipe,struck in hand_ contacted pile_ {leg}_ pressure.*testing
line strike,strike,cable_ sewer_ line_ conduit_ culvert_ pipe,,strike (.*) line,struck in hand_ contacted pile_ pressure.*testing
line strike,excavator,,,severed (.*) cable_ hit (.*) cable_ struck (.*) cable_ broke (.*) cable_ severed (.*) line_ hit (.*) line_ struck (.*) line_ broke (.*) line_ hit (.*) drain_ struck (.*) drain_ broke (.*) drain_ severed (.*) sewer_ hit (.*) sewer_ struck (.*) sewer_ broke (.*) sewer_ contacted .* {linestruck} .* {linebreak},struck in hand_ contacted pile_ pressure.*testing
line strike,excavation,line was abandoned,,,pressure.*testing
line strike,line, cut into_ severed_ broke the,pierce.*,existing.*line.*caus.*leak_ unmarked.*discovery_ damage.*nitrogen.*line_ cut.*live,struck in hand_ contacted pile_ pressure.*testing
line strike,powerline,made contact with_ hit overhead,damag.*_ crushed,contact.*overhead_ unmarked.*discovery_ cut.*live,struck in hand_ contacted pile_ pressure.*testing
line strike,contact,,,excavator.*contact.*with.*conduit_ excavator.*contact.*with.*line_ excavator.*contact.*with.*pipe_ excavator.*contact.*with.*sewer,struck in hand_ contacted pile_ pressure.*testing
line strike,bucket, cut into_ severed,,excavator.*contact.*with.*conduit_ excavator.*contact.*with.*line_ excavator.*contact.*with.*pipe_ excavator.*contact.*with.*sewer_ damag.*_ unmarked.*discovery,struck in hand_ contacted pile_ pressure.*testing
line strike,conduit,broke the,crushed,unmarked.*discovery_ cut.*live,struck in hand_ contacted pile_ pressure.*testing
electric shock or issue,electric*,,arc appear.*_ shock,static electric discharge_ electric shock_ could become live_ cable.*uncover.*_ line.*uncover.*_ cable.*found.*_ line.*found.*_ felt.*shock_ unprotected.*termination.*_ {worker}.*expos.*_ {worker}.*discharge_ damaged.*electric.*cord_ {worker}.*electric.*burn.*,pinched (.*) between_ electric motor_ electrician got (.*) cut
electric shock or issue,live,,,static electric discharge_ electric shock_ could become live,
electric shock or issue,fuse,,,fuse.*box.*open_ fuse.*box.*expose.*,
electric shock or issue,energi*,exposed,,was energi.*,
electric shock or issue,tingle*,,hand,,
ppe non-compliance,protect*,observed.*without_ observed.*with out,,not wearing (.*) protection_ not wearing (.*) ppe_ no ppe_ without correct use.*personal protect.*equipment ,was wearing.*ppe
ppe non-compliance,ppe,,,{observed}.*{without}.*{ppe}_ not wearing (.*) protection_ not wearing (.*) ppe_ no ppe_ ppe was damaged_ ppe on site was damaged_ ppe .* was not worn,was wearing.*ppe
ppe non-compliance,safety,without anchoring_ incoorectly using_ incorrect.* us.*,without.* harness_ without.* ppe_ without.*arrest,without.*glasses_ no.*glasses,was wearing.*ppe
ppe non-compliance,fall,without anchoring_ incoorectly using_ incorrect.* us.*,without.* harness_ without.* ppe_ without.*arrest,,was wearing.*ppe
ppe non-compliance,gloves,not.*wear.*,,no.*glove.*worn,was wearing.*ppe
alcohol or drugs,alcohol,positive.*for,, empty (.*) bottle_ under (.*) influence_ intoxicated,
alcohol or drugs,drugs,positive.*for_ use.*recreational,, empty (.*) packet_ under (.*) influence_ intoxicated,
alcohol or drugs,test,,,drug test,
site compliance or practice issue,removed, fenceline_ fence_ ,without authorization_ without authorisation,,
site compliance or practice issue,modif*,,extension.*lead.*_ extension.*cord.*,modified.* unqualified,
site compliance or practice issue,permit,without.*work_ not captured_ with out_ without work autherszation_ without work authorisation_ without work authorization_ did not document it on_ did not specify it on_ did not detail it on,not in place_ were not captured,during.* audit_ failed.* section_ modif.*without.*permit_ without permit_ with out permit_ without.*work_ did not have.*permit_ no permit.*,
site compliance or practice issue,practice,,not in place_ were not captured,scaffold.* improper.*practice,
site compliance or practice issue,access*,,,without.* permission,
site compliance or practice issue,control*,,not in place_ were not captured,,
site compliance or practice issue,under,,,employee.*under.*suspended load_ worker.*under.*suspended load_ ip.*under.*suspended load,
site compliance or practice issue,violation,employee.* worker.*_ dot,work procedure_ practice_ life saving rule.*,lsr violation_ violation .* lsr,
site compliance or practice issue,infringement,,,isolation.*infringement.*test,
site compliance or practice issue,emergency,,,emergency.*stop.*inadvertently.*activated_ emergency.*stop.*inadvertently.*pressed_ emergency.*stop.*inadvertently.*pushed,
site compliance or practice issue,inadvertently,,closed .* wrong {mechcomponent},,
site compliance or practice issue,lift*,no document.*for_ no.*plan.*for_ no.*permit.*for,,,
site compliance or practice issue,modif*,,without approval*_ out.*plan_ out.* agree.*,,
site compliance or practice issue,compliance,,,not.*compliance.*standard.*_ non.*compliance.*requirement.*,
site compliance or practice issue,policy,,,safety stand down.*remind.* policy,
site compliance or practice issue,procedure,failure.*follow_ not.*aware.*of,without approval*_ out.*plan_ out.* agree.*_ not in place_ were not captured_ not.*adhered to,,
site compliance or practice issue,restrict*,,,breached.*restriction.*_ enter.*work.*area,
site compliance or practice issue,risk,uncontrolled,,,
site compliance or practice issue,rams,unsuitable,,unsuitable.*for.*task,
site compliance or practice issue,plan,no document.*for_ no.*plan.*for_ no.*permit.*for,,failed to.*complete,
site compliance or practice issue,rule*,failure.*follow_ failure.*observe_ not.*observe_ not.*follow_ break_ non-compliance,breach,fail.*safety rule.*_ outside.*safety rule.*_ safety rule.*fail.*_ code.*conduct.*breach_ life.*saving.*breach,
site compliance or practice issue,scaffold*,,not .* hooked on,,
site compliance or practice issue,fail*,,to re.*install.*mark.*_ re.*instate.*mark.*,,
site compliance or practice issue,without,,authorisation from_ without .* fall protection,mov.*without.*guide.*_ back.*without.*guide.*_ mov.*with.*no.*guide.*_ back.*with.*no.*guide.*,
site compliance or practice issue,own,,,attempt.*to.*on.*his own_ attempt.*to.*on.*her own_ work.*on.*his own_ work.*on.*her own,
site compliance or practice issue,unsafe,,work.*procedure_ practice.*_ work.*practice.*,,
site compliance or practice issue,climb*,,,climb.*rail,
site compliance or practice issue,barrier.*,no safety,,,
site compliance or practice issue,unprotected,expose.*to,,,
site compliance or practice issue,unguarded ,,,off.*unguarded area,
site compliance or practice issue,observed,,,riding.*back.*mule,
site compliance or practice issue,service,tag.*out of,,,
site compliance or practice issue,zone,,,inside.*exclusion.*zone,
site compliance or practice issue,ptw,without.*work_ not captured_ with out_ without valid,not in place_ were not captured,during.* audit_ failed.* section_ modif.*without.*permit_ without permit_ with out permit_ without.*work_ did not have.*permit_ no permit.*,
site compliance or practice issue,zone,,,found.*within.*exclusion.*zone,
site compliance or practice issue,unauthorised,,use of,,
site compliance or practice issue,handrail,,was discovered.*loose_ was discovered.*missing_ was discovered.*broke.*_ was discovered.*faulty,,
site compliance or practice issue,unsuitable,,packaging_ rigging_ configuration_ practice_ procedures,,
site compliance or practice issue,revoked,,,{worker} .* privileges .* revoked.*,
site compliance or practice issue,suspend*,,,{worker} .* privileges .* suspended,
site compliance or practice issue,oversight,,,operating without .* oversight_ working without .* oversight,
site compliance or practice issue,supervision,,,operating without .* supervision_ working without .*  supervision,
site compliance or practice issue,toolbox,,,no toolbox talk held_ no toolbox talk took place,
site compliance or practice issue,protection,not wearing,not wearing_ was not worn,protection.*not worn_ fall protection.*unhooked_ fall protection.*not latched_ fall protection.*not connected_ fall protection.*not hooked,
site compliance or practice issue,acting,,,was acting.*careless.*rushing .* agitated_ was acting .*careless_ {worker} acted.*careless,
site compliance or practice issue,spotter,,,rotate.*without .* spotter,
confined space non-conformance or issue,confine*,non-compliance_ non compliance_ fail.*to comply_ infringement.*rules relating to_ violating_ in violation_ breach of,space permit_ space attendant_ space entry without_ space.*procedure.*violat.*_ space.*entry.*procedure,entered.*confined.*without_ no confined space entry_ without.*confined space entry_ watch.*left.*while.*still.*confined space,
confined space non-conformance or issue,crawl*,,,crawled.*into.*pipe_ lsr breach,
confined space non-conformance or issue,air,,,breathing.*air.*supply,
minor non-injury event,sank,,,foot.* sank.* hole,
minor non-injury event,delivery,,,unsafe.* delivery,
head or face injury,-,,,{head}.*{hurt}_ {hurt}.*{head},communication head_ cement head_ overhead
head or face injury,face,hit.*_ struck.*_ bump.*_ injur.*_ laceration.*to_ irritation.*to_ abrasion to_ came.*in.*contact_ came.*in.*contact_ bruis.*_ sensation_ tingling_ cut.*,sharp edge_ injur.*,struck.* face.* by_ struck.* head.* by_ struck.* nose.* by_ struck.* ear.* by_ hit.* in .* by_ minor.* injury_ suffer.*injury,communication head
head or face injury,head,hit.*_ struck.*_ bump.*_ injur.*_ laceration.*to_ irritation.*to_ abrasion to_ came.*in.*contact_ bruis.*_ sensation_ tingling_ cut.*_ jarred their_ jarred his_ jarred her_ {hurt},sharp edge_ injur.*,struck.* face.* by_ struck.* head.* by_ struck.* nose.* by_ struck.* ear.* by_ hit.* in .* by_ minor.* injury_ suffer.*injury,communication head_ cement head_ overhead_ shredder head
